"","stratum.id","LE_white_lcl","LE_white","LE_white_ucl","LE_black_lcl","LE_black","LE_black_ucl","LE_wbgap_lcl","LE_wbgap","LE_wbgap_ucl"
"146","Arizona.1996.Male",74.1007655995288,74.2597443232912,74.4089366838676,68.9332533238818,69.5565956568787,70.1296378621515,4.10229206500083,4.70152391952097,5.32963233200825
"147","Arizona.1997.Female",80.5535100004255,80.6949928773725,80.8418200176383,76.2013936033484,76.8139607845913,77.5771589493568,3.11361096381976,3.87411433575215,4.51576921625987
"148","Arizona.1997.Male",74.592328616901,74.7404091001067,74.8983144844364,69.2903177194812,69.8672205155682,70.4886388009026,4.19926676212161,4.87150595055009,5.46124751361606
"149","Arizona.1998.Female",80.6253733430173,80.7612117032184,80.9000342967624,76.2308343876965,76.8377509320287,77.5017186007401,3.24999192830931,3.91489438222165,4.5620418957346
"150","Arizona.1998.Male",74.7243496294818,74.8664557239456,75.0055409489101,69.6396643084665,70.2169818063828,70.7705815040137,4.09914747635925,4.65113162218815,5.21214656109145
"151","Arizona.1999.Female",80.6162105868064,80.7541283873819,80.8812953555121,76.2724187980004,76.9123370440311,77.5825448662474,3.16215342024655,3.84465701094302,4.47996605047445
"152","Arizona.1999.Male",74.7651058755254,74.9058438963981,75.0537907360157,70.0697585615739,70.6218899567824,71.1648542250047,3.72887107324411,4.27916896758292,4.86232126067165
"153","Arizona.2000.Female",80.6761093471526,80.8108353330345,80.9486770522466,76.3769201427272,77.0015353019441,77.6118702948544,3.18027937019768,3.81912467212864,4.45069976899161
"154","Arizona.2000.Male",75.008169220973,75.1394795780691,75.2821117195804,70.4512676005084,71.0314771181808,71.542184787244,3.5825014711985,4.11331669925205,4.67417614076494
"155","Arizona.2001.Female",80.7617972066073,80.8854821771157,81.0218580087464,76.6939618581721,77.3014743569945,77.9060613995827,2.99891967548951,3.57614905713427,4.19883171462099
"156","Arizona.2001.Male",75.111606440128,75.2432994235982,75.370549253335,70.8329679191316,71.4029898391172,71.9496410403949,3.29090582685012,3.84649671635622,4.40195508598107
"157","Arizona.2002.Female",80.6664645044221,80.7918361105861,80.9322491266418,77.1037939846376,77.6695154123964,78.2657509501215,2.47912269969367,3.12317473512876,3.69333496358014
"158","Arizona.2002.Male",75.0465244701095,75.1888763005773,75.3192580967246,71.3012626857978,71.8553095419978,72.3924360254935,2.7810203212222,3.3391985616537,3.8913836750325
"159","Arizona.2003.Female",80.7506208265742,80.8714609438965,81.0017010078128,77.1244508684151,77.6836599226019,78.2962404758998,2.55137708366751,3.19571750539557,3.72472954310414
