"","sex","state","year","X.1","stratum.id","X","age_minbin","COD.x","age_COD_cont_yrs_lcl","age_COD_cont_yrs_med","age_COD_cont_yrs_ucl","age_COD_cont_yrs_mean","age_COD_cont_prop_lcl","age_COD_cont_prop_med","age_COD_cont_prop_ucl","age_COD_cont_prop_mean","age","widened_gap","age_COD_cont_yrs_SE","COD.y","RE.estimates","fitted.RE","resid.RE","fixed.from.RE"
"3155","Male","Pennsylvania",1973,154357,"Pennsylvania.1973.Male",1027,0,"All other causes",0.801405004916289,0.983018478345624,1.18885560105187,0.987635532973565,0.0931841833065674,0.112931474556602,0.134463651688651,0.113283916279184,"<1 year",1,0.0988394377896891,"All other causes",0.178349144283638,0.993447669891752,-0.00581213691818683,0.815098525608114
"3156","Male","Pennsylvania",1974,154471,"Pennsylvania.1974.Male",1255,0,"All other causes",1.01318070469085,1.23370847598117,1.45297452607659,1.23320904259782,0.114859592837417,0.136523989255978,0.157570820948691,0.136419404655881,"<1 year",1,0.112192301373913,"All other causes",0.178349144283638,0.979167384895097,0.254041657702723,0.800818240611459
"3157","Male","Pennsylvania",1975,154585,"Pennsylvania.1975.Male",1483,0,"All other causes",0.830996364884457,1.04146472957797,1.25366065691602,1.04084699634503,0.0979211959634193,0.120073763350375,0.142560877714252,0.120151837138888,"<1 year",1,0.10782252347744,"All other causes",0.178349144283638,0.966681381863475,0.0741656144815547,0.788332237579837
"3158","Male","Pennsylvania",1976,154699,"Pennsylvania.1976.Male",1711,0,"All other causes",0.808829353722152,1.00641708474113,1.20590762020878,1.00642612375732,0.100147500333148,0.121296839558807,0.1426358488428,0.121466303987531,"<1 year",1,0.101295476144548,"All other causes",0.178349144283638,0.955809748030371,0.0506163757269493,0.777460603746733
"3159","Male","Pennsylvania",1977,154813,"Pennsylvania.1977.Male",1939,0,"All other causes",0.815360276968168,1.01083502735712,1.2099562842478,1.01144099802421,0.10177208010152,0.122435744168137,0.143758361829788,0.122633343423895,"<1 year",1,0.100662246755008,"All other causes",0.178349144283638,0.946372570629268,0.0650684273949423,0.76802342634563
"3160","Male","Pennsylvania",1978,154927,"Pennsylvania.1978.Male",2167,0,"All other causes",0.738176514967421,0.93294010021384,1.1284418370906,0.935564764762805,0.097273761417779,0.120096661980883,0.142370301578813,0.120319945190768,"<1 year",1,0.099557480133464,"All other causes",0.178349144283638,0.938189820106372,-0.00262505534356683,0.759840675822734
"3161","Male","Pennsylvania",1979,155041,"Pennsylvania.1979.Male",2395,0,"All other causes",0.786869225322347,0.957914089864838,1.14783801487338,0.961135432034958,0.104267439894738,0.124680482355659,0.146564432568174,0.124904686653442,"<1 year",1,0.0920838748854676,"All other causes",0.178349144283638,0.931056708004642,0.0300787240303164,0.752707563721004
"3162","Male","Pennsylvania",1980,155155,"Pennsylvania.1980.Male",2623,0,"All other causes",0.804834557279159,0.983171663867833,1.17724697067088,0.982545555424911,0.1087974586186,0.130786368999512,0.153110025038985,0.130597339680339,"<1 year",1,0.0950031666815615,"All other causes",0.178349144283638,0.924713205483849,0.0578323499410617,0.746364061200211
"3163","Male","Pennsylvania",1981,155269,"Pennsylvania.1981.Male",2851,0,"All other causes",0.728181309026867,0.902612616845088,1.08127610617128,0.902191416527667,0.0989814282164202,0.121081872731431,0.142445655669731,0.120782877495437,"<1 year",1,0.0900752033531666,"All other causes",0.178349144283638,0.918891809317881,-0.0167003927902144,0.740542665034243
"3164","Male","Pennsylvania",1982,155383,"Pennsylvania.1982.Male",3079,0,"All other causes",0.763216978942214,0.928486616990914,1.11681341104375,0.932937858670645,0.104640992588635,0.12502284808418,0.147805578295367,0.125431009498004,"<1 year",1,0.0902031714544735,"All other causes",0.178349144283638,0.913325016280625,0.0196128423900204,0.734975871996987
"3165","Male","Pennsylvania",1983,155497,"Pennsylvania.1983.Male",3307,0,"All other causes",0.751891588244901,0.915772090404214,1.09037310013715,0.916558584720275,0.104475833645707,0.124475725261999,0.145633481919483,0.124655707878576,"<1 year",1,0.0863473244623084,"All other causes",0.178349144283638,0.907745323145966,0.00881326157430895,0.729396178862328
"3166","Male","Pennsylvania",1984,155611,"Pennsylvania.1984.Male",3535,0,"All other causes",0.781707622825475,0.937219841796211,1.10463712766369,0.940961530045486,0.105819391976966,0.125061298645952,0.146563202229055,0.125364264970345,"<1 year",1,0.0823799757240344,"All other causes",0.178349144283638,0.901885226687792,0.0390763033576944,0.723536082404154
"3167","Male","Pennsylvania",1985,155725,"Pennsylvania.1985.Male",3763,0,"All other causes",0.839661206013869,1.01157398291949,1.17502186352385,1.01176123012385,0.109573722104336,0.128782850270092,0.147302695347939,0.128549204557009,"<1 year",1,0.0855511881403013,"All other causes",0.178349144283638,0.895477223679988,0.116284006443862,0.71712807939635
"3168","Male","Pennsylvania",1986,155839,"Pennsylvania.1986.Male",3991,0,"All other causes",1.00150349539449,1.17101750781084,1.35292116128325,1.17261271196882,0.123634330428645,0.142824121741786,0.162941568418118,0.142867212437816,"<1 year",1,0.0896473637471327,"All other causes",0.178349144283638,0.888253810896442,0.284358901072378,0.709904666612804
"3169","Male","Pennsylvania",1987,155953,"Pennsylvania.1987.Male",4219,0,"All other causes",1.15224009720648,1.32248433660613,1.51290520964283,1.32692976419806,0.13360721079766,0.151957477181831,0.17109761359389,0.152142275577754,"<1 year",1,0.0920064062337628,"All other causes",0.178349144283638,0.879951817038785,0.446977947159275,0.701602672755147
"3170","Male","Pennsylvania",1988,156067,"Pennsylvania.1988.Male",4447,0,"All other causes",0.984765763327996,1.15598102763662,1.33521585047546,1.15780577308394,0.112575405910639,0.130270159055953,0.148328080844895,0.130292017037272,"<1 year",1,0.0894005324355776,"All other causes",0.178349144283638,0.870476474499684,0.287329298584256,0.692127330216046
"3171","Male","Pennsylvania",1989,156181,"Pennsylvania.1989.Male",4675,0,"All other causes",1.094380511608,1.27228646533961,1.45297787680734,1.2714084781924,0.118239970419721,0.135053790723352,0.152837209156871,0.134971718259559,"<1 year",1,0.0914789196937092,"All other causes",0.178349144283638,0.859951778022868,0.411456700169532,0.68160263373923
"3172","Male","Pennsylvania",1990,156295,"Pennsylvania.1990.Male",4903,0,"All other causes",0.927205617179291,1.08273062081373,1.25165074248202,1.08515765796436,0.100121582777849,0.115203691132064,0.13097420622635,0.115426764741888,"<1 year",1,0.082766613597635,"All other causes",0.178349144283638,0.848516342608202,0.236641315356158,0.670167198324564
